event_id,source,source_row,equipment,component,event_type,severity,symptom,recommended_action,status,running_hours,ship_speed,lever_position,gt_shaft_torque_knm,gt_rpm,gas_generator_rpm,hp_turbine_exit_temp_c,compressor_outlet_temp_c,hp_turbine_exit_pressure_bar,compressor_outlet_pressure_bar,gt_exhaust_pressure_bar,fuel_flow_kg_s,compressor_decay,turbine_decay,text
sensor-11-compressor,data.csv,11,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,12,9.0,3.144,8379.307,1386.758,7114.396,605.169,587.437,1.389,7.567,1.02,0.258,0.95,0.976,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 12. Ship speed: 9.0 knots. GT RPM: 1386.758. Fuel flow: 0.258 kg/s. Compressor decay: 0.95. Turbine decay: 0.976."
sensor-12-compressor,data.csv,12,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,13,12.0,4.161,14724.544,1547.466,7794.646,660.568,613.688,1.657,8.998,1.022,0.358,0.95,0.976,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 13. Ship speed: 12.0 knots. GT RPM: 1547.466. Fuel flow: 0.358 kg/s. Compressor decay: 0.95. Turbine decay: 0.976."
sensor-13-compressor,data.csv,13,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,14,15.0,5.14,21636.777,1924.313,8495.697,730.495,645.457,2.078,11.185,1.026,0.521,0.95,0.976,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 14. Ship speed: 15.0 knots. GT RPM: 1924.313. Fuel flow: 0.521 kg/s. Compressor decay: 0.95. Turbine decay: 0.976."
sensor-14-compressor,data.csv,14,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,15,18.0,6.175,29792.983,2307.388,8829.394,799.298,676.17,2.501,13.342,1.03,0.707,0.95,0.976,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 15. Ship speed: 18.0 knots. GT RPM: 2307.388. Fuel flow: 0.707 kg/s. Compressor decay: 0.95. Turbine decay: 0.976."
sensor-15-compressor,data.csv,15,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,16,21.0,7.148,38981.896,2678.086,9132.932,853.701,699.779,2.963,15.661,1.035,0.907,0.95,0.976,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 16. Ship speed: 21.0 knots. GT RPM: 2678.086. Fuel flow: 0.907 kg/s. Compressor decay: 0.95. Turbine decay: 0.976."
sensor-16-compressor,data.csv,16,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,17,24.0,8.206,50997.234,3087.583,9318.935,951.073,741.605,3.575,18.611,1.04,1.234,0.95,0.976,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 17. Ship speed: 24.0 knots. GT RPM: 3087.583. Fuel flow: 1.234 kg/s. Compressor decay: 0.95. Turbine decay: 0.976."
sensor-17-compressor,data.csv,17,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,18,27.0,9.3,72763.515,3560.401,9779.311,1114.887,788.949,4.496,22.784,1.049,1.83,0.95,0.976,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 18. Ship speed: 27.0 knots. GT RPM: 3560.401. Fuel flow: 1.83 kg/s. Compressor decay: 0.95. Turbine decay: 0.976."
sensor-18-compressor,data.csv,18,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,19,3.0,1.138,753.021,1371.886,6697.838,473.665,553.143,1.117,6.047,1.019,0.088,0.95,0.977,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 19. Ship speed: 3.0 knots. GT RPM: 1371.886. Fuel flow: 0.088 kg/s. Compressor decay: 0.95. Turbine decay: 0.977."
sensor-19-compressor,data.csv,19,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,20,6.0,2.088,6961.726,1371.057,6830.364,635.133,581.244,1.33,7.262,1.019,0.289,0.95,0.977,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 20. Ship speed: 6.0 knots. GT RPM: 1371.057. Fuel flow: 0.289 kg/s. Compressor decay: 0.95. Turbine decay: 0.977."
sensor-20-compressor,data.csv,20,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,21,9.0,3.144,8379.456,1386.759,7116.987,604.338,587.286,1.389,7.559,1.02,0.258,0.95,0.977,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 21. Ship speed: 9.0 knots. GT RPM: 1386.759. Fuel flow: 0.258 kg/s. Compressor decay: 0.95. Turbine decay: 0.977."
sensor-21-compressor,data.csv,21,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,22,12.0,4.161,14724.616,1547.466,7796.657,659.666,613.524,1.657,8.989,1.022,0.357,0.95,0.977,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 22. Ship speed: 12.0 knots. GT RPM: 1547.466. Fuel flow: 0.357 kg/s. Compressor decay: 0.95. Turbine decay: 0.977."
sensor-22-compressor,data.csv,22,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,23,15.0,5.14,21636.925,1924.315,8496.61,729.497,645.272,2.078,11.174,1.026,0.52,0.95,0.977,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 23. Ship speed: 15.0 knots. GT RPM: 1924.315. Fuel flow: 0.52 kg/s. Compressor decay: 0.95. Turbine decay: 0.977."
sensor-23-compressor,data.csv,23,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,24,18.0,6.175,29793.328,2307.377,8830.433,798.166,675.943,2.501,13.328,1.03,0.705,0.95,0.977,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 24. Ship speed: 18.0 knots. GT RPM: 2307.377. Fuel flow: 0.705 kg/s. Compressor decay: 0.95. Turbine decay: 0.977."
sensor-24-compressor,data.csv,24,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,25,21.0,7.148,38981.432,2678.086,9133.432,852.658,699.604,2.962,15.644,1.035,0.905,0.95,0.977,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 25. Ship speed: 21.0 knots. GT RPM: 2678.086. Fuel flow: 0.905 kg/s. Compressor decay: 0.95. Turbine decay: 0.977."
sensor-25-compressor,data.csv,25,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,26,24.0,8.206,50997.566,3087.601,9319.306,950.027,741.441,3.574,18.589,1.041,1.232,0.95,0.977,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 26. Ship speed: 24.0 knots. GT RPM: 3087.601. Fuel flow: 1.232 kg/s. Compressor decay: 0.95. Turbine decay: 0.977."
sensor-26-compressor,data.csv,26,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,27,27.0,9.3,72764.565,3560.403,9780.103,1113.985,788.806,4.495,22.756,1.049,1.828,0.95,0.977,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 27. Ship speed: 27.0 knots. GT RPM: 3560.403. Fuel flow: 1.828 kg/s. Compressor decay: 0.95. Turbine decay: 0.977."
sensor-27-compressor,data.csv,27,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,28,3.0,1.138,1341.723,1391.603,6714.114,490.661,556.617,1.142,6.185,1.019,0.107,0.95,0.978,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 28. Ship speed: 3.0 knots. GT RPM: 1391.603. Fuel flow: 0.107 kg/s. Compressor decay: 0.95. Turbine decay: 0.978."
sensor-28-compressor,data.csv,28,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,29,6.0,2.088,6895.321,1366.843,6830.317,633.651,580.761,1.326,7.239,1.019,0.289,0.95,0.978,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 29. Ship speed: 6.0 knots. GT RPM: 1366.843. Fuel flow: 0.289 kg/s. Compressor decay: 0.95. Turbine decay: 0.978."
sensor-29-compressor,data.csv,29,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,30,9.0,3.144,8379.548,1386.759,7119.575,603.509,587.136,1.389,7.552,1.02,0.257,0.95,0.978,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 30. Ship speed: 9.0 knots. GT RPM: 1386.759. Fuel flow: 0.257 kg/s. Compressor decay: 0.95. Turbine decay: 0.978."
